-1328	2396 	13092	104	-8836	4133	391.168
-988	2840 	13076	80	-8680	3803	1487.71
-2208	2292 	12400	179	-8884	3360	1959.58
-1788	2284 	12092	316	-8388	3097	2401.09
-1832	2332 	11728	450	-7573	2920	2812.13
-1828	2072 	12244	793	-6756	2721	3304.67
-1816	2096 	11848	1001	-6644	2670	3805.17
-1764	2388 	12016	1287	-6098	2618	4279.04
-1412	2540 	12332	1487	-5853	2587	4677.54
-1272	2456 	12404	1763	-5849	2595	5099.88
-1304	2604 	12524	2153	-5918	2433	5587.92
-1184	2080 	12360	2390	-5804	2306	6004.46
-964	1880 	12152	2677	-5525	2160	6421.84
-728	1800 	12280	2935	-5229	1989	6819.46
-320	1556 	12344	3223	-4647	1728	7277.04
-120	1788 	12268	3397	-4238	1563	7700.67
-92	1936 	12272	3604	-3768	1261	8117.5
200	1780 	12152	3657	-3453	1040	8535
316	1772 	12196	3640	-3277	877	8943.38
456	1840 	12248	3572	-3112	668	9364.71
460	1628 	11956	3543	-2981	524	9844.09
576	1412 	11784	3519	-2771	442	10262.2
644	1012 	11472	3416	-2491	237	10693.5
1092	872 	11008	3325	-2318	143	11125.7
1164	692 	10640	3155	-2185	107	11547.6
1540	436 	10400	2898	-1875	72	11966.4
1636	256 	10092	2696	-1658	75	12386.1
1896	120 	10084	2498	-1441	131	12847.8
2036	-12 	9748	2132	-1413	324	13273.8
2208	-148 	9452	1938	-1295	446	13700.9
2348	-196 	9116	1694	-1071	592	14186.9
2304	-448 	8680	1336	-773	761	14619.5
2436	-380 	7980	1098	-620	871	15027.9
2280	-384 	7808	856	-500	947	15446.7
2324	-512 	6996	412	-445	963	15926.5
2320	-808 	6644	106	-328	985	16349.4
2468	-856 	6116	-225	-54	890	16774
2496	-1196 	5444	-685	163	802	17173.4
2636	-1292 	4976	-1017	368	633	17590.7
2540	-1208 	4828	-1295	413	444	18065.2
2504	-1024 	4200	-1735	546	148	18536.7
2260	-620 	4280	-1968	737	-137	18955.7
2344	-224 	3920	-2398	1211	-621	19355.3
1912	228 	3572	-2651	1450	-941	19771.1
1332	552 	3520	-2935	1684	-1245	20196.5
1236	972 	3392	-3223	2272	-1556	20618.5
600	1488 	3492	-3511	2586	-1892	21036.5
216	2004 	3352	-3697	2989	-2085	21432.3
-316	2636 	3448	-3845	3309	-2177	21854.2
-1112	3384 	3232	-4153	4255	-2323	22276.5
-1356	3500 	3028	-4238	4940	-2399	22696.5
-1284	3672 	3072	-4348	5650	-2426	23114.8
-1900	3728 	3440	-4399	6344	-2426	23509.5
-2040	3800 	3572	-4443	6868	-2478	23973.2
-1988	3804 	3672	-4410	7853	-2486	24465.4
-2328	3404 	4332	-4373	8429	-2487	24885.5
-2240	2840 	4656	-4289	9152	-2435	25304.5
-1812	2480 	5284	-4150	9848	-2384	25715.3
-1484	2120 	6008	-4060	10752	-2214	26137.8
-1236	1828 	7008	-4060	11066	-2081	26616.8
-1040	1468 	7788	-4096	11305	-2002	27033.7
-636	572 	8940	-4156	11853	-1942	27515
-540	116 	9656	-4083	12282	-1984	27918.6
-812	-492 	10536	-3952	12591	-2077	28333.1
-1056	-1012 	11580	-3706	13101	-2360	28807.3
-520	-1052 	13236	-3604	13419	-2494	29226.8
-56	-1100 	14860	-3593	13832	-2731	29701.8
-112	-1004 	16104	-3628	13889	-2869	30104.2
308	-972 	17068	-3750	13796	-2915	30518
548	-1280 	18616	-4016	13616	-2943	31002.6
556	-1516 	19584	-4178	13520	-3010	31493.8
364	-1596 	20544	-4372	13318	-3045	31899.6
116	-1604 	21544	-4572	12581	-3064	32318.5
296	-1656 	21960	-4703	11960	-3053	32804.7
144	-1784 	22760	-4846	11466	-3101	33240.4
-60	-1788 	23516	-4940	10909	-3205	33661.3
-472	-1920 	24140	-4889	10325	-3281	34057.4
-560	-1680 	24620	-4485	9485	-3326	34474
-392	-1628 	25672	-5328	9835	-3245	34910.6
-708	-1720 	24708	-5063	9704	-3202	35328.9
-432	-1524 	27112	-5306	9168	-3048	35747.1
-400	-828 	27220	-5726	8770	-2697	36144.1
-852	-760 	26812	-5747	8167	-2472	36559
-884	-708 	27440	-5769	7512	-2229	37040.3
-852	-132 	27636	-5898	6747	-1727	37458.8
-848	108 	27720	-6058	6160	-1449	37875.6
-892	176 	27904	-6028	5534	-1186	38274.9
-976	504 	27856	-6228	4950	-766	38712.4
-1172	640 	27900	-6124	4396	-525	39205.1
-1200	732 	27496	-6130	4084	-243	39623.3
-1316	1268 	27704	-6150	3347	106	40041.2
-1680	1372 	27924	-5962	2524	335	40455.8
-2048	1616 	27220	-5757	2326	443	40873.5
-1332	2228 	26796	-5270	1989	667	41354.4
-1520	2712 	26816	-4940	1713	709	41825.7
-2012	2800 	27208	-4038	292	655	42223.9
-2008	3320 	26888	-3572	-180	554	42649.3
-2016	3808 	26536	-3181	-478	377	43128.9
-2180	3960 	26728	-2437	-688	49	43547
-2136	4028 	26280	-1830	-878	-159	44094
